Leap Controller X;Leap Controller Y;Leap Controller Z;Reference Index X;Reference Index Y;Reference Index Z;Measured Index X;Measured Index Y;Measured Index Z;Reference Wrist X;Reference Wrist Y;Reference Wrist Z;Measured Wrist X;Measured Wrist Y;Measured Wrist Z;Reference Thumb X;Reference Thumb Y;Reference Thumb Z;Measured Thumb X;Measured Thumb Y;Measured Thumb Z
0.32;0.04;0.0085;0.0302;0.1095;0.2;0.04819506;0.1005476;0.1769056;0.004;-0.048;0.2;0.0143227;-0.04312953;0.1936256;0.04629;0.05559999;0.2;0.06074196;0.0568636;0.1854141
0.32;0.08;0.0085;0.0302;0.1095;0.2;0.04901922;0.1004905;0.1736898;0.004;-0.048;0.2;0.01882589;-0.03922647;0.1911856;0.04629;0.05559999;0.2;0.05780667;0.05885908;0.1838211
0.28;0.08;0.0085;0.0302;0.1095;0.2;0.04547147;0.1031624;0.1763298;0.004;-0.048;0.2;0.01456755;-0.04168163;0.1957034;0.04629;0.05559999;0.2;0.05596034;0.05947962;0.1866762
0.24;0.08;0.0085;0.0302;0.1095;0.2;0.0411416;0.1033449;0.1788321;0.004;-0.048;0.2;0.01047975;-0.04300372;0.1984638;0.04629;0.05559999;0.2;0.0518994;0.05717874;0.1890982
0.2;0.08;0.0085;0.0302;0.1095;0.2;0.03949556;0.1012897;0.179682;0.004;-0.048;0.2;0.007793725;-0.043341;0.2011803;0.04629;0.05559999;0.2;0.05086078;0.05469048;0.191795
0.16;0.08;0.0085;0.0302;0.1095;0.2;0.03839017;0.1019693;0.180331;0.004;-0.048;0.2;0.006395608;-0.04413165;0.2034185;0.04629;0.05559999;0.2;0.05200923;0.0539418;0.1937824
0.12;0.08;0.0085;0.0302;0.1095;0.2;0.03714587;0.09711815;0.182227;0.004;-0.048;0.2;0.006677844;-0.0462569;0.2035004;0.04629;0.05559999;0.2;0.05259374;0.05136277;0.1974428
0.08;0.08;0.0085;0.0302;0.1095;0.2;0.03552204;0.09510139;0.1852209;0.004;-0.048;0.2;0.005329944;-0.04757778;0.2038025;0.04629;0.05559999;0.2;0.05267759;0.04981725;0.1986283
0.04;0.08;0.0085;0.0302;0.1095;0.2;0.03610026;0.09642321;0.1896709;0.004;-0.048;0.2;0.005576149;-0.04574326;0.2034998;0.04629;0.05559999;0.2;0.05128666;0.05057471;0.2023439
0;0.08;0.0085;0.0302;0.1095;0.2;0.03901842;0.09802336;0.2015152;0.004;-0.048;0.2;0.005687635;-0.04336512;0.2039354;0.04629;0.05559999;0.2;0.05286469;0.05495532;0.2081461
-0.04;0.08;0.0085;0.0302;0.1095;0.2;0.04256505;0.09542635;0.2100278;0.004;-0.048;0.2;0.004777014;-0.04187112;0.205978;0.04629;0.05559999;0.2;0.05418923;0.05442427;0.2178679
-0.08;0.08;0.0085;0.0302;0.1095;0.2;0.04651678;0.09358576;0.214243;0.004;-0.048;0.2;0.004056148;-0.04200257;0.2081985;0.04629;0.05559999;0.2;0.05972624;0.05014776;0.2296165
-0.12;0.08;0.0085;0.0302;0.1095;0.2;0.04731666;0.09425147;0.2141672;0.004;-0.048;0.2;0.003365159;-0.04501669;0.2103975;0.04629;0.05559999;0.2;0.06224451;0.04743893;0.2328973
-0.12;0.12;0.0085;0.0302;0.1095;0.2;0.0488281;0.09303934;0.215756;0.004;-0.048;0.2;0.001287259;-0.04514246;0.2095246;0.04629;0.05559999;0.2;0.06093448;0.04964852;0.2327134
-0.08;0.12;0.0085;0.0302;0.1095;0.2;0.04989049;0.08276247;0.2258923;0.004;-0.048;0.2;0.003056169;-0.04304963;0.2070738;0.04629;0.05559999;0.2;0.05896196;0.05089312;0.2331787
-0.04;0.12;0.0085;0.0302;0.1095;0.2;0.04302105;0.09684438;0.2100978;0.004;-0.048;0.2;0.004256789;-0.04392181;0.2057244;0.04629;0.05559999;0.2;0.0532408;0.05637532;0.2199687
0;0.12;0.0085;0.0302;0.1095;0.2;0.03793963;0.1023753;0.1981839;0.004;-0.048;0.2;0.005396192;-0.04338668;0.2065418;0.04629;0.05559999;0.2;0.05129672;0.05607369;0.2056446
0.04;0.12;0.0085;0.0302;0.1095;0.2;0.03473015;0.09958293;0.1938609;0.004;-0.048;0.2;0.005442642;-0.04408973;0.2067046;0.04629;0.05559999;0.2;0.04878641;0.05197375;0.2014138
0.08;0.12;0.0085;0.0302;0.1095;0.2;NaN;NaN;NaN;0.004;-0.048;0.2;NaN;NaN;NaN;0.04629;0.05559999;0.2;NaN;NaN;NaN
0.12;0.12;0.0085;0.0302;0.1095;0.2;0.03385712;0.09954565;0.1869744;0.004;-0.048;0.2;0.006637558;-0.04407134;0.2045111;0.04629;0.05559999;0.2;0.05107131;0.04937927;0.1970419
0.16;0.12;0.0085;0.0302;0.1095;0.2;0.03502039;0.1020427;0.1854946;0.004;-0.048;0.2;0.008820921;-0.04094579;0.2002182;0.04629;0.05559999;0.2;0.04960285;0.05156901;0.1946579
0.2;0.12;0.0085;0.0302;0.1095;0.2;0.03674978;0.1040676;0.1821124;0.004;-0.048;0.2;0.01221633;-0.03884537;0.1963165;0.04629;0.05559999;0.2;0.04780389;0.05435865;0.1925259
0.24;0.12;0.0085;0.0302;0.1095;0.2;0.04016347;0.1047609;0.1790709;0.004;-0.048;0.2;0.01269156;-0.03724035;0.195347;0.04629;0.05559999;0.2;0.05084209;0.05747796;0.188303
0.28;0.12;0.0085;0.0302;0.1095;0.2;0.04388812;0.104683;0.1773545;0.004;-0.048;0.2;0.01631159;-0.03572001;0.1932819;0.04629;0.05559999;0.2;0.05656786;0.05822741;0.1849756
